"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시동구청",대구광역시 동구 동북로71길 33,대구광역시 동구 신암5동 산27,어린이보호,1,200,회전형,,2019-08,053-662-4314,35.891925,128.631319,2019-05-28
"대구광역시동구청",대구광역시 동구 신암남로28길 20,대구광역시 동구 신암동 351-1,생활방범,1,200,회전형,,2019-08,053-662-4314,35.882198,128.631563,2019-05-28
"대구광역시동구청",대구광역시 동구 아양로41길 17-1,대구광역시 동구 신암동 23-11,생활방범,1,200,회전형,,2019-08,053-662-4314,35.887707,128.636314,2019-05-28
"대구광역시동구청",대구광역시 동구 효동로1길 50,대구광역시 동구 효목동 186-11,생활방범,1,200,회전형,,2019-08,053-662-4314,35.878235,128.646361,2019-05-28
"대구광역시동구청",대구광역시 동구 아양로27길 40,대구광역시 동구 신암동 137-7,생활방범,1,200,회전형,,2019-08,053-662-4314,35.887426,128.628149,2019-05-28
"대구광역시동구청",대구광역시 동구 동북로75길 10,대구광역시 동구 신암동 130-49,생활방범,1,200,회전형,,2019-08,053-662-4314,35.888694,128.630463,2019-05-28
"대구광역시동구청",대구광역시 동구 신암북로7길 10-10,대구광역시 동구 신암동 671-3,생활방범,1,200,회전형,,2019-08,053-662-4314,35.887580,128.621095,2019-05-28
"대구광역시동구청",대구광역시 동구 신암남로15길 41,대구광역시 동구 신암동 226-17,생활방범,1,200,회전형,,2019-08,053-662-4314,35.880642,128.622392,2019-05-28
"대구광역시동구청",대구광역시 동구 신암로20길 79,대구광역시 동구 신암동 459-66,생활방범,1,200,회전형,,2019-08,053-662-4314,35.877127,128.613704,2019-05-28
"대구광역시동구청",대구광역시 동구 국채보상로159길 29,대구광역시 동구 신천1동 808-40,생활방범,1,200,회전형,,2019-08,053-662-4314,35.869516,128.616125,2019-05-28
"대구광역시동구청",대구광역시 동구 아양로11길 40,대구광역시 동구 신암동 635-74,생활방범,1,200,회전형,,2019-01,053-662-4314,35.885834,128.620538,2019-05-28
"대구광역시동구청",대구광역시 동구 아양로14길 6,대구광역시 동구 신암동 217-30,생활방범,1,200,회전형,,2019-08,053-662-4314,35.882210,128.622404,2019-05-28
"대구광역시동구청",대구광역시 동구 동부로5길 21,대구광역시 동구 신천동 541-8,생활방범,1,200,회전형,,2019-08,053-662-4314,35.874972,128.615570,2019-05-28
"대구광역시동구청",대구광역시 동구 송라로 24길 25,대구광역시 동구 신암동 183-42,생활방범,1,200,회전형,,2019-08,053-662-4314,35.878859,128.618546,2019-05-28
"대구광역시동구청",대구광역시 동구 화랑로11길 29,대구광역시 동구 신천동 464-2,생활방범,1,200,회전형,,2019-08,053-662-4314,35.872299,128.630443,2019-05-28
"대구광역시동구청",대구광역시 동구 동부로16길 28,대구광역시 동구 신천동 265-1,생활방범,1,200,회전형,,2019-08,053-662-4314,35.873909,128.620700,2019-05-28
"대구광역시동구청",대구광역시 동구 효목로13길 25,대구광역시 동구 효목동 364-1,생활방범,1,200,회전형,,2019-08,053-662-4314,35.878740,128.639609,2019-05-28
"대구광역시동구청",대구광역시 동구 화랑로9길 25,대구광역시 동구 신천동 358-3,생활방범,1,200,회전형,,2019-08,053-662-4314,35.871085,128.631563,2019-05-28
"대구광역시동구청",대구광역시 동구 동부로15길 10,대구광역시 동구 신천동 44-10,생활방범,1,200,회전형,,2019-08,053-662-4314,35.875885,128.620339,2019-05-28
"대구광역시동구청",대구광역시 동구 효신로6길 20,대구광역시 동구 효목동 414-12,생활방범,1,200,회전형,,2019-06,053-662-4314,35.875564,128.635065,2019-05-28
"대구광역시동구청",대구광역시 동구 효신로5길 31,대구광역시 동구 신천4동 491,생활방범,1,200,회전형,,2019-08,053-662-4314,35.873891,128.632737,2019-05-28
"대구광역시동구청",대구광역시 동구 효목로5길 76,대구광역시 동구 효목동 445-19,생활방범,1,200,회전형,,2019-06,053-662-4314,35.876708,128.636879,2019-05-28
"대구광역시동구청",대구광역시 동구 율하동로24길 1,대구광역시 동구 신기동 211-1,생활방범,1,200,회전형,,2019-12,053-662-4314,35.869961,128.702425,2019-05-28
"대구광역시동구청",대구광역시 동구 화랑로99길 6,대구광역시 동구 용계동 517-3,생활방범,1,200,회전형,,2019-08,053-662-4314,35.875805,128.678324,2019-05-28
"대구광역시동구청",대구광역시 동구 율하동로 76,대구광역시 동구 신기동 594,생활방범,1,200,고정형,,2019-06,053-662-4314,35.866057,128.702535,2019-05-28
"대구광역시동구청",대구광역시 동구 반야월북로59길 45,대구광역시 동구 신서동 454-4,생활방범,1,200,회전형,,2019-08,053-662-4314,35.874055,128.733580,2019-05-28
"대구광역시동구청",대구광역시 동구 율하동로19길 48,대구광역시 동구 율하동 911-18,생활방범,1,200,회전형,,2019-06,053-662-4314,35.868993,128.696814,2019-05-28
"대구광역시동구청",대구광역시 동구 반야월북로12길 33,대구광역시 동구 율암동 525-13,생활방범,1,200,회전형,,2019-06,053-662-4314,35.876739,128.702397,2019-05-28
"대구광역시동구청",대구광역시 동구 신기동 557-1,대구광역시 동구 신기동 557-1,생활방범,2,200,회전형,,2019-06,053-662-4314,35.868228,128.704315,2019-05-28
"대구광역시동구청",대구광역시 동구 반야월로6길 26,대구광역시 동구 용계동 738-3,생활방범,1,200,회전형,,2019-08,053-662-4314,35.873341,128.693131,2019-05-28
"대구광역시동구청",대구광역시 동구 율하동로24길 76,대구광역시 동구 서호동 93-1,생활방범,1,200,회전형,,2019-08,053-662-4314,35.868877,128.710411,2019-05-28
"대구광역시동구청",대구광역시 동구 둔산로2길 22,대구광역시 동구 방촌동 857-146,생활방범,1,200,회전형,,2019-08,053-662-4314,35.880269,128.673079,2019-05-28
"대구광역시동구청",대구광역시 동구 화랑로73길 25,대구광역시 동구 방촌동 1084-410,생활방범,1,200,회전형,,2019-06,053-662-4314,35.878609,128.663585,2019-05-28
"대구광역시동구청",대구광역시 동구 방촌로11길 12,대구광역시 동구 검사동 747-33,생활방범,1,200,회전형,,2019-06,053-662-4314,35.886497,128.660173,2019-05-28
"대구광역시동구청",대구광역시 동구 공항로49길 28,대구광역시 동구 지저동 651-21,생활방범,1,200,회전형,,2019-12,053-662-4314,35.895010,128.642676,2019-05-28
"대구광역시동구청",대구광역시 동구 팔공로29길 19,대구광역시 동구 불로봉무동 305-1,생활방범,1,200,회전형,,2019-12,053-662-4314,35.911786,128.638812,2019-05-28
"대구광역시동구청",대구광역시 동구 동촌로54길 62,대구광역시 동구 방촌동 1113-265,생활방범,1,200,회전형,,2019-08,053-662-4314,35.878356,128.670250,2019-05-28
"대구광역시동구청",대구광역시 동구 입석로 71,대구광역시 동구 입석동 883-18,생활방범,1,200,회전형,,2019-06,053-662-4314,35.890528,128.651489,2019-05-28
"대구광역시동구청",대구광역시 동구 동촌로46길 9-1,대구광역시 동구 방촌동 1070-2,생활방범,1,200,회전형,,2019-06,053-662-4314,35.880687,128.664311,2019-05-28
"대구광역시동구청",대구광역시 동구 신평로 68,대구광역시 동구 신평동 771-21,생활방범,1,200,회전형,,2019-12,053-662-4314,35.879020,128.677211,2019-05-28
"대구광역시동구청",대구광역시 동구 공항로52길 37,대구광역시 동구 지저동 826-6,생활방범,1,200,회전형,,2019-12,053-662-4314,35.892320,128.638445,2019-05-28
"대구광역시동구청",대구광역시 동구 파계로 83-6,대구광역시 동구 지묘동 787-8,생활방범,1,200,회전형,,2019-06,053-662-4314,35.941278,128.636944,2019-05-28
"대구광역시동구청",대구광역시 동구 팔공산로 1676,대구광역시 동구 백안동 510-1,생활방범,1,200,회전형,,2019-06,053-662-4314,35.955740,128.691291,2019-05-28
"대구광역시동구청",대구광역시 동구 팔공산로 246,대구광역시 동구 덕곡동 54,생활방범,1,200,회전형,,2019-06,053-662-4314,35.996583,128.610848,2019-05-28
"대구광역시동구청",대구광역시 동구 입석로 126,대구광역시 동구 검사동 908-119,생활방범,1,200,회전형,,2019-08,053-662-4314,35.887492,128.656172,2019-05-28
"대구광역시동구청",대구광역시 동구 신암남로 45,대구광역시 동구 신암동 208-1,생활방범,1,200,회전형,,2019-06,053-662-4314,35.879694,128.620967,2019-05-28
"대구광역시동구청",대구광역시 동구 효서로2길 23,대구광역시 동구 효목동 372-1,생활방범,1,200,회전형,,2019-06,053-662-4314,35.878903,128.637639,2019-05-28
"대구광역시동구청",대구광역시 동구 해동로6길 5,대구광역시 동구 지저동 766-3,생활방범,1,200,회전형,,2019-06,053-662-4314,35.894888,128.636937,2019-05-28
"대구광역시동구청",대구광역시 동구 효동로 86,대구광역시 동구 효목동 41-5,생활방범,1,200,회전형,,2019-06,053-662-4314,35.884190,128.643496,2019-05-28
"대구광역시동구청",대구광역시 동구 신암남로 88-54,대구광역시 동구 신암동 207-66,생활방범,1,200,회전형,,2019-12,053-662-4314,35.878839,128.624216,2019-05-28
"대구광역시동구청",대구광역시 동구 화랑로3길 20-1,대구광역시 동구 신천동 354-1,생활방범,1,200,회전형,,2019-06,053-662-4314,35.869957,128.630181,2019-05-28
"대구광역시동구청",대구광역시 동구 평광동 산 177-3,대구광역시 동구 평광동 산 177-3,생활방범,1,200,회전형,,2019-06,053-662-4314,35.932191,128.679981,2019-05-28
"대구광역시동구청",대구광역시 동구 공항로50길 48,대구광역시 동구 지저동 786-4,생활방범,1,200,회전형,,2019-06,053-662-4314,35.894676,128.639427,2019-05-28
"대구광역시동구청",대구광역시 동구 율하동로 67,대구광역시 동구 율하동 1020,생활방범,1,200,회전형,,2019-06,053-662-4314,35.865949,128.701105,2019-05-28
