"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 서구청",대구광역시 서구 대구광역시 서구 중리동 708-1,대구광역시 서구 중리동 708-1,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.8585704,128.543001,2019-06-13
"대구광역시 서구청",대구광역시 서구 달구벌대로323길 111,대구광역시 서구 중리동 715-13,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.857357,128.5417195,2019-06-13
"대구광역시 서구청",대구광역시 서구 당산로41서길 82,대구광역시 서구 중리동 711-1,생활방범,1,200,동서남북,30,2016-06,053-663-3901,35.857469,128.543224,2019-06-13
"대구광역시 서구청",대구광역시 서구 당산로45길 56,대구광역시 서구 중리동 721-12,생활방범,1,200,동서남북,30,2016-06,053-663-3901,35.856021,128.544423,2019-06-13
"대구광역시 서구청",대구광역시 서구 당산로47길 69,대구광역시 서구 중리동 720-1,생활방범,1,200,동서남북,30,2015-04,053-663-3901,35.856466,128.5433997,2019-06-13
"대구광역시 서구청",대구광역시 서구 달구벌대로323길 99,대구광역시 서구 중리동 717-5,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.856804,128.541792,2019-06-13
"대구광역시 서구청",대구광역시 서구 죽전길 136,대구광역시 서구 중리동 714-1,생활방범,1,200,동서남북,30,2015-07,053-663-3901,35.8578396,128.540577,2019-06-13
"대구광역시 서구청",대구광역시 서구 달구벌대로329길 127,대구광역시 서구 중리동 707-19,생활방범,1,200,동서남북,30,2016-07,053-663-3901,35.859197,128.544035,2019-06-13
"대구광역시 서구청",대구광역시 서구 달구벌대로329길 137-16,대구광역시 서구 중리동 705-17,생활방범,1,200,동서남북,30,2014-12,053-663-3901,35.859328,128.543154,2019-06-13
"대구광역시 서구청",대구광역시 서구 당산로41동길 61,대구광역시 서구 내당동 423-26,생활방범,1,200,동서남북,30,2015-04,053-663-3901,35.857568,128.546083,2019-06-13
"대구광역시 서구청",대구광역시 서구 서대구로3길 16-24,대구광역시 서구 내당동 351-1,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.860303,128.555104,2019-06-13
"대구광역시 서구청",대구광역시 서구 서대구로3길 54,대구광역시 서구 내당동 355-19,생활방범,1,200,동서남북,30,2015-10,053-663-3901,35.858749,128.550992,2019-06-13
"대구광역시 서구청",대구광역시 서구 서대구로15길 28,대구광역시 서구 중리동 111-13,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.863682,128.5530601,2019-06-13
"대구광역시 서구청",대구광역시 서구 국채보상로36길 40,대구광역시 서구 중리동 69-11,생활방범,1,200,동서남북,30,2015-04,053-663-3901,35.865971,128.551266,2019-06-13
"대구광역시 서구청",대구광역시 서구 문화로 154,대구광역시 서구 평리동 1485-1,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.874351,128.549383,2019-06-13
"대구광역시 서구청",대구광역시 서구 당산로86길 47,대구광역시 서구 평리동 601-7,생활방범,1,200,동서남북,30,2015-04,053-663-3901,35.877923,128.548626,2019-06-13
"대구광역시 서구청",대구광역시 서구 북비산로31길 13,대구광역시 서구 평리동 422-32,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.880031,128.550405,2019-06-13
"대구광역시 서구청",대구광역시 서구 서대구로21길 19,대구광역시 서구 평리동 1429-1,생활방범,1,200,동서남북,30,2015-12,053-663-3901,35.867653,128.553198,2019-06-13
"대구광역시 서구청",대구광역시 서구 국채보상로48길 48-1,대구광역시 서구 평리동 1351-10,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.866486,128.558233,2019-06-13
"대구광역시 서구청",대구광역시 서구 통학로21길 13-1,대구광역시 서구 평리동 1209-11,생활방범,1,200,동서남북,30,2016-06,053-663-3901,35.869188,128.561632,2019-06-13
"대구광역시 서구청",대구광역시 서구 국채보상로50길 65,대구광역시 서구 평리동 1228-1,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.865271,128.5605398,2019-06-13
"대구광역시 서구청",대구광역시 서구 국채보상로48길 72,대구광역시 서구 평리동 1358-10,생활방범,1,200,동서남북,30,2015-04,053-663-3901,35.864578,128.558891,2019-06-13
"대구광역시 서구청",대구광역시 서구 국채보상로66길 40,대구광역시 서구 평리동 1139-27,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.868638,128.566632,2019-06-13
"대구광역시 서구청",대구광역시 서구 서대구로2길 22,대구광역시 서구 내당동 220-6,생활방범,1,200,동서남북,30,2016-05,053-663-3901,35.859383,128.559404,2019-06-13
"대구광역시 서구청",대구광역시 서구 서대구로10길 6,대구광역시 서구 내당동 243-1,생활방범,1,200,동서남북,30,2015-04,053-663-3901,35.862926,128.557109,2019-06-13
