"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 달성군청",대구광역시 달성군 논공읍 논공로5길 121,대구광역시 달성군 논공읍 북리 803-74,어린이보호,2,200,미소어린이집 부근,30,,053-668-3193,35.7293603,128.4423769,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 논공읍 남리5길 32-6,,어린이보호,2,200,남동어린이집 부근,30,,053-668-3193,35.725461,128.449193,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 논공읍 논공로23길 6-5,,어린이보호,2,200,논공어린이집 부근,30,,053-668-3193,35.730191,128.447511,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 옥포면 신당4길 25,대구광역시 달성군 옥포면 신당리 1199,어린이보호,2,200,옥포어린이집 부근,30,,053-668-3193,35.7957928,128.4423078,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 성화로4길 13,대구광역시 달성군 화원읍 성산리 501,어린이보호,1,200,큰별유치원 부근,30,,053-668-3193,35.8026226,128.4914313,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로539길 11-11,대구광역시 달성군 화원읍 구라리 1685,어린이보호,2,200,하늘숲유치원 부근,30,,053-668-3193,35.8096486701,128.507289242,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로502길 14,대구광역시 달성군 화원읍 명곡리 229-4,어린이보호,2,200,백설어린이집 부근,30,,053-668-3193,35.7990010,128.4920938,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로512길 44,대구광역시 달성군 화원읍 천내리 379-1,어린이보호,2,200,화남어린이집 부근,30,,053-668-3193,35.8018091,128.4983403,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로528길 4,대구광역시 달성군 화원읍 본리리 16,어린이보호,2,200,혜민어린이집 부근,30,,053-668-3193,35.8052988,128.5048836,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로500길 10,대구광역시 달성군 화원읍 명곡리 215-5,어린이보호,2,200,소호(해솔)어린이집 부근,30,,053-668-3193,35.7987716,128.4911166,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로520길 6,대구광역시 달성군 화원읍 천내리 430-1,어린이보호,2,200,동그라미어린이집 부근,30,,053-668-3193,35.8035226,128.5002751,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 명천로31길 2,대구광역시 달성군 화원읍 천내리 878,어린이보호,2,200,동보어린이집 부근,30,,053-668-3193,35.8007536,128.5007279,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 안흥길 41,,어린이보호,2,200,안델센어린이집 부근,30,,053-668-3193,35.800256,128.500177,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 화원로7길 51,대구광역시 달성군 화원읍 천내리 188-3,어린이보호,2,200,예사랑어린이집 부근,30,,053-668-3193,35.8058897,128.4967481,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 성화로4길 8-8,대구광역시 달성군 화원읍 성산리 492-3,어린이보호,1,200,장미어린이집 부근,30,,053-668-3193,35.8012753,128.4920359,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 비슬로530길 15-12,대구광역시 달성군 화원읍 본리리 11-4,어린이보호,2,200,화원어린이집 부근,30,,053-668-3193,35.8053003,128.5066561,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 가창면  퇴계길 5,대구광역시 달성군 가창면 행정리 1037-1,어린이보호,2,200,가창어린이집 부근,30,,053-668-3193,35.7804826,128.6509540,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 구지면 과학북로11길 80-295,대구광역시 달성군 구지면 화산리 산 10,재난재해,1,200,대니산,30,,053-668-2862,35.676302,128.410151,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 사문진로1길 40-14,대구광역시 달성군 화원읍 성산리 310,재난재해,1,200,비슬산,30,,053-668-2862,35.8129354,128.4810178,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 가창면 가창동로1길 60,대구광역시 달성군 가창면  단산리 546-1,재난재해,1,200,최정산,30,,053-668-2862,35.7734794,128.6514410,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 옥포면 반송리 916-73,재난재해,1,200,비슬산,30,,053-668-2862,35.751455,128.495431,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 하빈면 현내리 788,재난재해,1,200,비슬산,30,,053-668-2862,35.911021,128.446868,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 다사읍 서재리 857,재난재해,1,200,비슬산,30,,053-668-2862,35.880001,128.478839,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 논공읍 노이길 371,대구광역시 달성군 논공읍 노이리 590-2,재난재해,1,200,비슬산,30,,053-668-2862,35.7545899,128.4508164,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 가창면  정대리 산170-2,재난재해,1,200,최정산,30,,053-668-2862,35.731567,128.557081,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 가창면 우록1길 20-28,대구광역시 달성군 가창면  우록리 544,재난재해,1,200,최정산,30,,053-668-2862,35.7219673,128.6429030,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 가창면  오리 670,재난재해,1,200,최정산,30,,053-668-2862,35.790945,128.591035,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 논공읍 논공중앙로33길 3,대구광역시 달성군 논공읍 북리 1-130,재난재해,1,200,공단출장소,30,,053-668-2862,35.730077,128.4527811387,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 하빈면 감문리 367,재난재해,1,200,비슬산,30,,053-668-2862,35.894141,128.427183,2019-06-25
"대구광역시 달성군청",,대구광역시 달성군 다사읍 부곡리 236,재난재해,1,200,비슬산,30,,053-668-2862,35.863588,128.441516,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 구지면 구지서로 726,대구광역시 달성군 구지면 도동리 35,시설물관리,22,200,도동서원,30,,053-668-3163,35.7009250,128.3719082,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 하빈면 육신사길 64,대구광역시 달성군 하빈면 묘리 638,시설물관리,7,200,태고정,30,,053-668-3163,35.9110992,128.416627,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 하빈면 묘동4길 15,대구광역시 달성군 하빈면 묘리 800,시설물관리,7,200,삼가헌,30,,053-668-3163,35.9067273,128.4126460,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 화원로1길 15-7,대구광역시 달성군 화원읍 천내리 38,쓰레기단속,1,41,천내리 38,30,,053-668-2714,35.804902,128.500221,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 화원로7길 50-21,대구광역시 달성군 화원읍 천내리 110,쓰레기단속,1,41,천내리 110,30,,053-668-2714,35.806792,128.495839,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 화원읍 성화로 82,대구광역시 달성군 화원읍 설화리 151-2,쓰레기단속,1,200,설화리 151-2,30,,053-668-2714,35.799324,128.484795,2019-06-25
"대구광역시 달성군청",대구광역시 달성군 현풍면 비슬로122길 19,대구광역시 달성군 현풍면 원교리 102,쓰레기단속,1,200,원교리 102,30,,053-668-2714,35.693211,128.444402,2019-06-25
