"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 남구청",대구광역시 남구 이천로6길 20,대구광역시 남구 봉덕3동 617-1,생활방범,1,200,초저조도IR 스피드돔카메라,30,2015-06,053-664-2493,35.84291303,128.5993142,2019-03-27
"대구광역시 남구청",대구광역시 남구 봉덕로10길 40,대구광역시 남구 봉덕3동 710-22,생활방범,1,200,초저조도IR 스피드돔카메라,30,2015-06,053-664-2493,35.84316618,128.5955413,2019-03-27
"대구광역시 남구청",대구광역시 남구 현충로19길 25,대구광역시 남구 대명1동 793-13,생활방범,1,200,초저조도IR 스피드돔카메라,30,2015-09,053-664-2493,35.84135687,128.5784915,2019-03-27
"대구광역시 남구청",대구광역시 남구 중앙대로49길 25,대구광역시 남구 대명2동 1803-8,생활방범,1,200,초저조도IR 스피드돔카메라,30,2016-05,053-664-2493,35.85528506,128.5890445,2019-03-27
"대구광역시 남구청",대구광역시 남구 성당로60길 31,대구광역시 남구 대명3동 2277-8,생활방범,1,200,초저조도IR 스피드돔카메라,30,2015-06,053-664-2493,35.85815045,128.5762333,2019-03-27
"대구광역시 남구청",대구광역시 남구 대경5길 65,대구광역시 남구 대명4동 3018-62,생활방범,1,200,초저조도 고정형 카메라,30,2016-03,053-664-2493,35.84833668,128.5758854,2019-03-27
"대구광역시 남구청",대구광역시 남구 현충로32길 51,대구광역시 남구 대명5동 1706-24,생활방범,1,200,초저조도IR 스피드돔카메라,30,2016-03,053-664-2493,35.845344,128.5815427,2019-03-27
"대구광역시 남구청",대구광역시 남구 대봉로34길 54,대구광역시 남구 이천동 195-48,생활방범,1,200,초저조도IR 스피드돔카메라,30,2015-07,053-664-2493,35.85400284,128.6040036,2019-03-27
"대구광역시 남구청",대구광역시 남구 이천로27길 18-1,대구광역시 남구 이천동 427-1,생활방범,1,200,초저조도IR 스피드돔카메라,30,2015-06,053-664-2493,35.852314,128.5974809,2019-03-27
"대구광역시 남구청",대구광역시 남구 명덕로 248,대구광역시 남구 이천동 631-17,생활방범,1,200,초저조도IR 스피드돔카메라,30,2016-03,053-664-2493,35.85596588,128.5971762,2019-03-27
