"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 수성구청",대구광역시 수성구 국채보상로186길 121 (범어동),대구광역시 수성구 범어2동142-33(범어유치원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.863257,128.634101,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 화랑로2길 81(만촌1동),대구광역시 수성구 만촌1동1348(보노유치원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.868287,128.635024,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 수성로 411 (수성동4가),대구광역시 수성구 수성4가동1090-5(코오롱아인슈타인유치원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.862728,128.616431,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 수성로 412 (수성동4가),대구광역시 수성구 수성4가동1090-6(코오롱아인슈타인유치원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.861645,128.614302,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 만촌로14길 12 (만촌동),대구광역시 수성구 만촌2동983-39(만촌어린이집),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.865975,128.645001,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 달구벌대로504길 21 (범어동),대구광역시 수성구 범어4동117-43(청수유치원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.856733,128.638311,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 세진로3길 43 (범어동),대구광역시 수성구 범어2동416-9(계림어린이공원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.863424,128.637931,2018-07-31
"대구광역시 수성구청",,대구광역시 수성구 만촌2동1006-2(청구어린이공원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.863207,128.646079,2018-07-31
"대구광역시 수성구청",,대구광역시 수성구 만촌3동874-2(봉선화어린이공원),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.850505,128.650234,2018-07-31
"대구광역시 수성구청",,대구광역시 수성구 두산동108(SK리더스뷰 북편),교통단속,1,41,,,,053-666-3022,35.839829,128.623211,2018-07-31
"대구광역시 수성구청",,대구광역시 수성구 두산동108(SK리더스뷰 북편),교통단속,1,41,,,,053-666-3022,35.839829,128.623211,2018-07-31
"대구광역시 수성구청",,대구광역시 수성구 두산동108(SK리더스뷰 북편),교통단속,1,41,,,,053-666-3022,35.839829,128.623211,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 신매로19길 54,대구광역시 수성구 고산1동(신매동)567-41(신매광장 중앙 횡단보도 옆),교통단속,1,130,,,,053-666-3022,35.839438,128.706779,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 신매로19길 54,대구광역시 수성구 고산1동(신매동)567-41(신매광장 중앙 횡단보도 옆),교통단속,1,210,,,,053-666-3022,35.839438,128.706779,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 신매로19길 54,대구광역시 수성구 고산1동(신매동)567-41(신매광장 중앙 횡단보도 옆),교통단속,1,210,,,,053-666-3022,35.839438,128.706779,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 달구벌대로 2489,대구광역시 수성구 범어2동170-5(동대구농협 앞),교통단속,1,130,,,,053-666-3022,35.858937,128.634373,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 달구벌대로 2489,대구광역시 수성구 범어2동170-5(동대구농협 앞),교통단속,1,210,,,,053-666-3022,35.858937,128.634373,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 달구벌대로 2489,대구광역시 수성구 범어2동170-5(동대구농협 앞),교통단속,1,210,,,,053-666-3022,35.858937,128.634373,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 동대구로 386,대구광역시 수성구 범어2동45-28(킹덤오피스텔 앞),교통단속,1,130,,,,053-666-3022,35.865193,128.627136,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 동대구로 386,대구광역시 수성구 범어2동45-28(킹덤오피스텔 앞),교통단속,1,210,,,,053-666-3022,35.865193,128.627136,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 동대구로 386,대구광역시 수성구 범어2동45-28(킹덤오피스텔 앞),교통단속,1,210,,,,053-666-3022,35.865193,128.627136,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 달구벌대로 2538,대구광역시 수성구 범어4동212-10(K-Plus 할인마트 앞),교통단속,1,130,,,,053-666-3022,35.858664,128.640201,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 수성로57길 21(수성동1가),대구광역시 수성구 수성1가동426-4(동성초교),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.851496,128.611918,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 동대구로59길 16(범어동),대구광역시 수성구 범어1동790-18(동도초교),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.857278,128.623919,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 천을로 37(시지동),대구광역시 수성구 고산2동(시지동)150-10(고산초교),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.844942,128.694398,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 수성로25길 46(상동),대구광역시 수성구 상동170-5(수성초교),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.837661,128.609457,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 상화로5길 26(상동),대구광역시 수성구 상동118-11(수성초교),어린이보호,1,200,골목길 전방향,30,,053-666-2494,35.835937,128.609705,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 충의로6길 17 (만촌2동),대구광역시 수성구 만촌2동982-47,생활방범,1,200,골목길 전방향,30,,053-666-2494,35.866543,128.645863,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 세진로 77 (만촌2동),대구광역시 수성구 만촌2동962-9,생활방범,1,200,골목길 전방향,30,,053-666-2494,35.863674,128.643548,2018-07-31
"대구광역시 수성구청",대구광역시 수성구 국채보상로216길 75 (만촌2동),대구광역시 수성구 만촌2동979-21,생활방범,1,200,골목길 전방향,30,,053-666-2494,35.865621,128.648552,2018-07-31
