"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 북구청 공원녹지과",대구광역시 북구 침산남로9길 164 경상여자고등학교 옥상,"대구광역시 북구 침산동 810-1, 경상여자고등학교 옥상",재난재해,1,200,,30,,053-665-4481,35.8999150,128.5878660,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,"대구광역시 북구 조야동 산5, 망일봉 정상",재난재해,1,200,,30,,053-665-4481,35.9252560,128.5831780,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,"대구광역시 북구 노곡동 산 1-3, 함지산정상",재난재해,1,200,,30,,053-665-4481,35.9248430,128.5697000,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,대구광역시 북구 국우동 1051번지,재난재해,1,200,,30,,053-665-4481,35.9572440,128.5830030,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,"대구광역시 북구 금호동 산 104-10번지, 금호철탑",재난재해,1,200,,30,,053-665-4481,35.8947680,128.5237700,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,"대구광역시 북구 구암동 638-1, 함지산등산로입구",재난재해,1,200,,30,,053-665-4481,35.9301740,128.5629120,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,"대구광역시 북구 침산동 1347, 침산공원내 물놀이장",시설물관리,1,200,,30,,053-665-4481,35.8948710,128.5852480,2019-07-10
"대구광역시 북구청 공원녹지과","대구광역시 북구 영송로68, 태전공원내 벽천폭포",,시설물관리,1,200,,30,,053-665-4481,35.9313956,128.5446240,2019-07-10
"대구광역시 북구청 공원녹지과","대구광역시 북구 연암공원로13길 8, 연암공원내 물놀이장",,시설물관리,1,200,,30,,053-665-4481,35.8968312,128.5993212,2019-07-10
"대구광역시 북구청 공원녹지과",대구광역시 북구,대구광역시 북구 산격동 산 1461 연암공원(벽천폭포),시설물관리,1,200,,30,,053-665-2850,35.8981680,128.6025350,2019-07-10
