"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 달서구청",대구광역시 달서구 두류남길 60(두류동),대구광역시 달서구 두류동 804-141,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85726389,128.5712667,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 본리서3길 5(본리동),대구광역시 달서구 본리동 1210-1,생활방범,1,200,회전,30,2015-01,053-667-3900,35.8395174,128.5299165,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 호산동로36북길 60(호산동),대구광역시 달서구 호산동 357-41,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85140387,128.4879588,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 월배로68길 48(송현동),대구광역시 달서구 송현동 798-321,생활방범,1,200,고정,30,2012-01,053-667-3900,35.82413495,128.549215,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 상화로15길 27(진천동),대구광역시 달서구 진천동 460,생활방범,1,200,회전,30,2015-01,053-667-3900,35.80923876,128.5223564,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 월배로32길 58(상인동),대구광역시 달서구 상인동 344-15,생활방범,1,200,고정,30,2012-01,053-667-3900,35.81433873,128.5329579,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 당산로45길 17(감삼동),대구광역시 달서구 감삼동 31-5,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85613589,128.5464247,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 죽전4길 95(감삼동),대구광역시 달서구 감삼동 32-34,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85556385,128.5453689,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 달구벌대로323길 68(감삼동),대구광역시 달서구 감삼동 35-1,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85537136,128.5421015,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 달구벌대로323길 55(감삼동),대구광역시 달서구 감삼동 37-25,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85492167,128.5419056,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 달구벌대로323길 23(감삼동),대구광역시 달서구 감삼동 44-15,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85344228,128.5421547,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 당산로41길 62(감삼동),대구광역시 달서구 감삼동 54-6,생활방범,1,200,회전,30,2015-01,053-667-3900,35.8543535,128.5451171,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 감삼4길 70(감삼동),대구광역시 달서구 감삼동 126-31,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85150911,128.5451118,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 감삼4길 55(감삼동),대구광역시 달서구 감삼동 129-19,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85149511,128.5442117,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 감삼북길 111(감삼동),대구광역시 달서구 감삼동 134-1,생활방범,1,200,회전,30,2015-01,053-667-3900,35.8511397,128.5426593,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 감삼2길 18(감삼동),대구광역시 달서구 감삼동 165-17,생활방범,1,200,회전,30,2015-01,053-667-3900,35.84933319,128.5399457,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 당산로21길 8(감삼동),대구광역시 달서구 감삼동 207-1,생활방범,1,200,회전,30,2015-01,053-667-3900,35.84704953,128.5446573,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 당산로21길 46(감삼동),대구광역시 달서구 감삼동 201-2,생활방범,1,200,회전,30,2015-01,053-667-3900,35.84733873,128.5425005,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 와룡로32길 109(감삼동),대구광역시 달서구 감삼동 205-8,생활방범,1,200,회전,30,2015-01,053-667-3900,35.846181,128.5434248,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 와룡로28길 115(감삼동),대구광역시 달서구 감삼동 206-72,생활방범,1,200,회전,30,2015-01,053-667-3900,35.8448362,128.5438097,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 감삼남2길 78(감삼동),대구광역시 달서구 감삼동 288-5,생활방범,1,200,회전,30,2015-01,053-667-3900,35.84540833,128.540849,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 죽전길 109(죽전동),대구광역시 달서구 죽전동 203-6,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85662426,128.5401159,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 죽전1길 110(죽전동),대구광역시 달서구 죽전동 216-9,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85438719,128.5385042,2019-09-16
"대구광역시 달서구청",대구광역시 달서구 죽전1길 7(죽전동),대구광역시 달서구 죽전동 280-8,생활방범,1,200,회전,30,2015-01,053-667-3900,35.85211461,128.5407618,2019-09-16
