"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시 중구청",대구광역시 중구 동덕로36길 128,대구광역시 중구 동인동4가 457-7,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.869273,128.611314,2019-06-14
"대구광역시 중구청",대구광역시 중구 동덕로30길 125,대구광역시 중구 동인동4가 416,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.8661741,128.6107270,2019-06-14
"대구광역시 중구청",대구광역시 중구 동덕로 15,대구광역시 중구 대봉동 123-23,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.856596,128.604224,2019-06-14
"대구광역시 중구청",대구광역시 중구 명덕로 321-3,대구광역시 중구 대봉동 121-163,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.855312,128.605332,2019-06-14
"대구광역시 중구청",대구광역시 중구 동덕로26길 66,대구광역시 중구 삼덕동3가 249-1,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.864896,128.606936,2019-06-14
"대구광역시 중구청",대구광역시 중구 남산로 44-11,대구광역시 중구 남산동 2442-15,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.8607071596,128.583334,2019-06-14
"대구광역시 중구청",대구광역시 중구 공평로 34,대구광역시 중구 삼덕동2가 6,생활방범,2,200,닥터홍치과 옆,30,2015-12,053-661-2495,35.8670576,128.6001401,2019-06-14
"대구광역시 중구청",대구광역시 중구 교동길 74,대구광역시 중구 교동 70-48,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.873221,128.598641,2019-06-14
"대구광역시 중구청",대구광역시 중구 명륜로 111,대구광역시 중구 봉산동 234-14,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.860115,128.596565,2019-06-14
"대구광역시 중구청",대구광역시 중구 동성로2길 12-5,대구광역시 중구 봉산동 21-10,생활방범,2,200,야시골목,30,2015-12,053-661-2495,35.8668252,128.596591,2019-06-14
"대구광역시 중구청",대구광역시 중구 태평로 178-1,대구광역시 중구 태평로1가 6-1,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.874329,128.597171,2019-06-14
"대구광역시 중구청",대구광역시 중구 태평로 176-1,대구광역시 중구 태평로1가 6-10,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.874505,128.5968596,2019-06-14
"대구광역시 중구청",대구광역시 중구 공평로 59,대구광역시 중구 공평동 81-15,생활방범,2,200,공평동 81-15,30,2015-12,053-661-2495,35.869445,128.599851,2019-06-14
"대구광역시 중구청",대구광역시 중구 명륜로23길 24,대구광역시 중구 봉산동 230-81,생활방범,1,200,360도 전방면,30,2015-12,053-661-2495,35.861138,128.596029,2019-06-14
"대구광역시 중구청",대구광역시 중구 동성로2길 6,대구광역시 중구 봉산동 15-3,생활방범,2,200,야시골목,30,2015-12,053-661-2495,35.866327,128.595955,2019-06-14
