id,document,label
16194093,우연히들른 식당인데 이집 나쁘지않네 ,1
16194092,"마약중독,힘들어하는 가족들 이야기라 누군가에겐 흔한 내용 일 수도..하지만 그 뻔함의 나열을 질리지 않게 아주 적절히 했다고 생각함 ",1
16194091,어린시절 느꼈던  풋풋함이 전해졌습니다 ,1
16194090,7세아이가 너무 재미있어 했어요 ,1
16194089,권민중 샤워씬과 으리에 별점을 바치노라. ,0
16194088,7세남아 너무 재미있게 봤어요 ,1
16194087,재미있다고 하는 사람들은 원작을 안봤나? 원작 완전히 무시하고 새로 각색해놓고 제목을 타짜라고 해도 되는건지?? 타짜4 벨제붑의 노래가 나올지 모르겠는데 이런식이라면 타짜는 더 이상 안본다. ,0
16194086,닭이 먼저냐 계란이 먼저냐에 대한 인류의 고전적인 문제 ,1
16194085,My cock's mall ,1
16194084,마지막 죽기 일주일전 앙조위가 스피커뒤에서 마약을 만지다가 유덕화가 손님으로 온장면은 뭘 암시하나요? ,1
16194083,제발 옥상문좀 열고다녀라ㅋㅋㅋ ,1
16194082,결국은 각자의 삶. 운명이라는 게 정말 있을까? ,1
16194081,재미는 없는듯ㅎㅎ후반부는 볼만 ,1
16194080,"그 무엇을 위해 우주 끝까지 가본 열정도 이해되고, 그를 찾기 위해 우주 끝까지 간 사랑도 이해된다. ",1
16194079,"이미 수년이 지난 후 지만, 그러므로 아닌 척하지만, 잊어버린 척하지만, 나는 여전히 그때의 불안함과 서글픔을 지니고 있다는 것을 알게 되었다. ",1
16194078,응응 지영아 0점이 없다 ,0
16194077,연기력이 좋고 작품성이 있는데 지루 루즈한감이 있음 ,0
16194076,그렇게 자극되는것 기억에 남는것도 없고 ,0
16194075,상처받기 두려워 망설인 시간 ,1
16194074,흔해 빠진 서민 주택 봉하 아방궁.누구나 논두렁에 다 버리는 흔한 쓰레기 피아제.. 우리가 노무현이다! ,0
16194073,알바 OO다 진짜 영화판 막장이다 ,0
16194072,남주무매력에노래는 완곡이 하나도 없음고구마 남주 여주의 스토리 ,1
16194071,최악. 완전 최악. 매력이 단 하나도 없는 영화 ,0
16194070,"누가봐도 재미없는거 재밌게 봤다 말하면, 작품성좋고수준높은척 역겨움 ",0
16194069,초 중반에 루즈하다가 막판 재밌음. 이 오래전 효과적인 연출 사실같은 죠스는 박수. ,0
16194068,욘두의 길고 긴 촉수화살 ,1
